Gene stable ID,Interpro ID,Interpro Description,SpectralCounts
WBGene00007653,IPR005856,Cysteine synthase,13
WBGene00007653,IPR005859,Cysteine synthase CysK,13
WBGene00007653,IPR036052,Tryptophan synthase beta subunit-like PLP-dependent enzyme,13
WBGene00007660,,,1
WBGene00007685,,,3
WBGene00007686,IPR023614,Porin domain superfamily,3
WBGene00007686,IPR027246,Eukaryotic porin/Tom40,3
WBGene00007686,IPR037930,Tom40,3
WBGene00007689,,,27
WBGene00007696,IPR006634,TRAM/LAG1/CLN8 homology domain,4
WBGene00007696,IPR013599,TRAM1-like protein,4
WBGene00007696,IPR016447,Translocation associated membrane protein,4
WBGene00007707,IPR001199,Cytochrome b5-like heme/steroid binding domain,1
WBGene00007707,IPR006694,Fatty acid hydroxylase,1
WBGene00007707,IPR014430,Sterol desaturase Scs7,1
WBGene00007707,IPR036400,Cytochrome b5-like heme/steroid binding domain superfamily,1
WBGene00007708,IPR007264,"H/ACA ribonucleoprotein complex, subunit Nop10",15
WBGene00007708,IPR036756,"H/ACA ribonucleoprotein complex, subunit Nop10 superfamily",15
WBGene00007709,IPR001304,C-type lectin-like,80
WBGene00007709,IPR016186,C-type lectin-like/link domain superfamily,80
WBGene00007709,IPR016187,C-type lectin fold,80
WBGene00007722,,,4
WBGene00007736,IPR002602,Domain of unknown function DB,1
WBGene00007736,IPR003598,Immunoglobulin subtype 2,1
WBGene00007736,IPR003599,Immunoglobulin subtype,1
WBGene00007736,IPR003961,Fibronectin type III,1
WBGene00007736,IPR006150,Cysteine-rich repeat,1
WBGene00007736,IPR007110,Immunoglobulin-like domain,1
WBGene00007736,IPR013151,Immunoglobulin,1
WBGene00007736,IPR013783,Immunoglobulin-like fold,1
WBGene00007736,IPR036116,Fibronectin type III superfamily,1
WBGene00007736,IPR036179,Immunoglobulin-like domain superfamily,1
WBGene00007743,IPR009038,GOLD domain,2
WBGene00007743,IPR015720,TMP21-related,2
WBGene00007753,IPR002591,Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase,44
WBGene00007753,IPR017850,"Alkaline-phosphatase-like, core domain superfamily",44
WBGene00007753,IPR029897,"Ectonucleotide pyrophosphatase/phosphodiesterase, nematoda",44
WBGene00007757,IPR011701,Major facilitator superfamily,3
WBGene00007757,IPR036259,MFS transporter superfamily,3
WBGene00007765,,,5
WBGene00007784,IPR003593,AAA+ ATPase domain,6
WBGene00007784,IPR010339,"TIP49, P-loop domain",6
WBGene00007784,IPR027238,RuvB-like,6
WBGene00007784,IPR027417,P-loop containing nucleoside triphosphate hydrolase,6
WBGene00007784,IPR037938,RuvB-like helicase 1,6
WBGene00007784,IPR041048,"RuvB-like, AAA-lid domain",6
WBGene00007786,IPR011990,Tetratricopeptide-like helical domain superfamily,42
WBGene00007786,IPR013026,Tetratricopeptide repeat-containing domain,42
WBGene00007786,IPR019734,Tetratricopeptide repeat,42
WBGene00007787,IPR003226,Metal-dependent protein hydrolase,6
WBGene00007806,IPR001304,C-type lectin-like,3
WBGene00007806,IPR016186,C-type lectin-like/link domain superfamily,3
WBGene00007806,IPR016187,C-type lectin fold,3
WBGene00007807,IPR003366,CUB-like domain,774
WBGene00007811,IPR011009,Protein kinase-like domain superfamily,5
WBGene00007811,IPR012877,Uncharacterised  oxidoreductase Dhs-27,5
WBGene00007811,IPR015897,CHK kinase-like,5
WBGene00007813,IPR003347,JmjC domain,1
WBGene00007820,IPR001304,C-type lectin-like,62
WBGene00007820,IPR016186,C-type lectin-like/link domain superfamily,62
WBGene00007820,IPR016187,C-type lectin fold,62
WBGene00007836,IPR006139,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",56
WBGene00007836,IPR006140,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain",56
WBGene00007836,IPR029752,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1",56
WBGene00007836,IPR029753,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site",56
WBGene00007836,IPR036291,NAD(P)-binding domain superfamily,56
WBGene00007848,IPR001199,Cytochrome b5-like heme/steroid binding domain,22
WBGene00007848,IPR018506,"Cytochrome b5, heme-binding site",22
WBGene00007848,IPR036400,Cytochrome b5-like heme/steroid binding domain superfamily,22
WBGene00007880,IPR006806,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,2
WBGene00007885,IPR002213,UDP-glucuronosyl/UDP-glucosyltransferase,4
WBGene00007885,IPR035595,"UDP-glycosyltransferase family, conserved site",4
WBGene00007905,,,9
WBGene00007907,IPR001766,Fork head domain,1
WBGene00007907,IPR036388,Winged helix-like DNA-binding domain superfamily,1
WBGene00007907,IPR036390,Winged helix DNA-binding domain superfamily,1
WBGene00007924,IPR001611,Leucine-rich repeat,1
WBGene00007924,IPR003591,"Leucine-rich repeat, typical subtype",1
WBGene00007924,IPR032675,Leucine-rich repeat domain superfamily,1
WBGene00007934,IPR036846,"GM2-AP, lipid-recognition domain superfamily",11
WBGene00007942,IPR004790,Isocitrate dehydrogenase NADP-dependent,1
WBGene00007942,IPR019818,"Isocitrate/isopropylmalate dehydrogenase, conserved site",1
WBGene00007942,IPR024084,Isopropylmalate dehydrogenase-like domain,1
WBGene00007952,IPR011989,Armadillo-like helical,15
WBGene00007952,IPR016024,Armadillo-type fold,15
WBGene00007954,IPR003137,PA domain,7
WBGene00007954,IPR007365,"Transferrin receptor-like, dimerisation domain",7
WBGene00007954,IPR007484,Peptidase M28,7
WBGene00007954,IPR036757,"Transferrin receptor-like, dimerisation domain superfamily",7
WBGene00007954,IPR039373,Glutamate carboxypeptidase 2-like,7
WBGene00007955,IPR011893,"Selenoprotein, Rdx-type",28
WBGene00007955,IPR019389,Selenoprotein T,28
WBGene00007955,IPR036249,Thioredoxin-like superfamily,28
WBGene00007964,IPR001128,Cytochrome P450,2
WBGene00007964,IPR002401,"Cytochrome P450, E-class, group I",2
WBGene00007964,IPR017972,"Cytochrome P450, conserved site",2
WBGene00007964,IPR036396,Cytochrome P450 superfamily,2
WBGene00007965,IPR002618,UDPGP family,23
WBGene00007965,IPR029044,Nucleotide-diphospho-sugar transferases,23
WBGene00007965,IPR039741,UDP-sugar pyrophosphorylase,23
WBGene00007969,IPR000873,AMP-dependent synthetase/ligase,1
WBGene00007969,IPR011904,Acetate-CoA ligase,1
WBGene00007969,IPR020845,"AMP-binding, conserved site",1
WBGene00007969,IPR025110,"AMP-binding enzyme, C-terminal domain",1
WBGene00007969,IPR032387,"Acetyl-coenzyme A synthetase, N-terminal domain",1
WBGene00007969,IPR042099,AMP-dependent synthetase-like superfamily,1
WBGene00007971,IPR011262,"DNA-directed RNA polymerase, insert domain",1
WBGene00007971,IPR011263,"DNA-directed RNA polymerase, RpoA/D/Rpb3-type",1
WBGene00007971,IPR036603,"RNA polymerase, RBP11-like subunit",1
WBGene00007971,IPR036643,"DNA-directed RNA polymerase, insert domain superfamily",1
WBGene00007979,IPR006639,Presenilin/signal peptide peptidase,37
WBGene00007979,IPR007369,"Peptidase A22B, signal peptide peptidase",37
WBGene00007986,IPR004296,DUF236 repeat,2
WBGene00007999,,,1
WBGene00008000,IPR011701,Major facilitator superfamily,15
WBGene00008000,IPR020846,Major facilitator superfamily domain,15
WBGene00008000,IPR036259,MFS transporter superfamily,15
WBGene00008019,IPR003378,Fringe-like,7
WBGene00008019,IPR026842,Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1,7
WBGene00008020,,,1
WBGene00008027,IPR001283,Cysteine-rich  secretory protein-related,1
WBGene00008027,IPR002413,Venom allergen 5-like,1
WBGene00008027,IPR014044,CAP domain,1
WBGene00008027,IPR035940,CAP superfamily,1
WBGene00008029,IPR001283,Cysteine-rich  secretory protein-related,6
WBGene00008029,IPR002413,Venom allergen 5-like,6
WBGene00008029,IPR014044,CAP domain,6
WBGene00008029,IPR035940,CAP superfamily,6
WBGene00008030,IPR001283,Cysteine-rich  secretory protein-related,3
WBGene00008030,IPR002413,Venom allergen 5-like,3
WBGene00008030,IPR014044,CAP domain,3
WBGene00008030,IPR035940,CAP superfamily,3
WBGene00008032,,,4
WBGene00008033,IPR011701,Major facilitator superfamily,4
WBGene00008033,IPR020846,Major facilitator superfamily domain,4
WBGene00008033,IPR036259,MFS transporter superfamily,4
WBGene00008047,IPR001466,Beta-lactamase-related,1
WBGene00008047,IPR012338,Beta-lactamase/transpeptidase-like,1
WBGene00008052,IPR005282,Lysosomal cystine transporter,4
WBGene00008052,IPR006603,PQ-loop repeat,4
WBGene00008053,IPR003338,"CDC48, N-terminal subdomain",57
WBGene00008053,IPR003593,AAA+ ATPase domain,57
WBGene00008053,IPR003959,"ATPase, AAA-type, core",57
WBGene00008053,IPR003960,"ATPase, AAA-type, conserved site",57
WBGene00008053,IPR004201,"CDC48, domain 2",57
WBGene00008053,IPR005938,"AAA ATPase, CDC48 family",57
WBGene00008053,IPR009010,Aspartate decarboxylase-like domain superfamily,57
WBGene00008053,IPR015415,"Vps4 oligomerisation, C-terminal",57
WBGene00008053,IPR027417,P-loop containing nucleoside triphosphate hydrolase,57
WBGene00008053,IPR029067,CDC48 domain 2-like superfamily,57
WBGene00008053,IPR041569,"AAA ATPase, AAA+ lid domain",57
WBGene00008063,,,16
WBGene00008074,IPR000402,Sodium/potassium-transporting ATPase subunit beta,18
WBGene00008074,IPR038702,Sodium/potassium-transporting ATPase subunit beta superfamily,18
WBGene00008077,IPR002656,Acyltransferase 3,1
WBGene00008110,IPR005828,"Major facilitator,  sugar transporter-like",4
WBGene00008110,IPR005829,"Sugar transporter, conserved site",4
WBGene00008110,IPR020846,Major facilitator superfamily domain,4
WBGene00008110,IPR036259,MFS transporter superfamily,4
WBGene00008113,,,47
WBGene00008117,IPR001100,"Pyridine nucleotide-disulphide oxidoreductase, class I",138
WBGene00008117,IPR004099,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain",138
WBGene00008117,IPR006322,"Glutathione reductase, eukaryote/bacterial",138
WBGene00008117,IPR012999,"Pyridine nucleotide-disulphide oxidoreductase, class I, active site",138
WBGene00008117,IPR016156,"FAD/NAD-linked reductase, dimerisation domain superfamily",138
WBGene00008117,IPR023753,FAD/NAD(P)-binding domain,138
WBGene00008117,IPR036188,FAD/NAD(P)-binding domain superfamily,138
WBGene00008121,IPR017000,Membrane-anchored ubiquitin-fold protein,1
WBGene00008121,IPR029071,Ubiquitin-like domain superfamily,1
WBGene00008121,IPR039540,"UBL3-like, ubiquitin domain",1
WBGene00008121,IPR040015,UBL3-like,1
WBGene00008132,IPR005886,UDP-glucose 4-epimerase,23
WBGene00008132,IPR016040,NAD(P)-binding domain,23
WBGene00008132,IPR036291,NAD(P)-binding domain superfamily,23
WBGene00008145,IPR001214,SET domain,2
WBGene00008145,IPR006570,SPK domain,2
WBGene00008149,IPR008162,Inorganic pyrophosphatase,41
WBGene00008149,IPR036649,Inorganic pyrophosphatase superfamily,41
WBGene00008173,IPR035321,Protein of unknown function DUF5373,5
WBGene00008175,,,18
WBGene00008194,IPR000742,EGF-like domain,319
WBGene00008199,,,155
WBGene00008200,IPR000719,Protein kinase domain,1
WBGene00008200,IPR008271,"Serine/threonine-protein kinase, active site",1
WBGene00008200,IPR011009,Protein kinase-like domain superfamily,1
WBGene00008201,IPR001304,C-type lectin-like,41
WBGene00008201,IPR016186,C-type lectin-like/link domain superfamily,41
WBGene00008201,IPR016187,C-type lectin fold,41
WBGene00008202,IPR001304,C-type lectin-like,140
WBGene00008202,IPR016186,C-type lectin-like/link domain superfamily,140
WBGene00008202,IPR016187,C-type lectin fold,140
WBGene00008205,IPR002133,S-adenosylmethionine synthetase,75
WBGene00008205,IPR022628,"S-adenosylmethionine synthetase, N-terminal",75
WBGene00008205,IPR022629,"S-adenosylmethionine synthetase, central domain",75
WBGene00008205,IPR022630,"S-adenosylmethionine synthetase, C-terminal",75
WBGene00008205,IPR022631,"S-adenosylmethionine synthetase, conserved site",75
WBGene00008205,IPR022636,S-adenosylmethionine synthetase superfamily,75
WBGene00008215,IPR002602,Domain of unknown function DB,1
WBGene00008218,IPR011990,Tetratricopeptide-like helical domain superfamily,73
WBGene00008218,IPR019544,"Tetratricopeptide, SHNi-TPR domain",73
WBGene00008220,IPR006046,Alpha amylase,4
WBGene00008220,IPR006047,"Glycosyl hydrolase, family 13, catalytic domain",4
WBGene00008220,IPR013780,"Glycosyl hydrolase, all-beta",4
WBGene00008220,IPR017853,Glycoside hydrolase superfamily,4
WBGene00008220,IPR031319,"Alpha-amylase, C-terminal domain",4
WBGene00008228,,,14
WBGene00008231,IPR000668,"Peptidase C1A, papain C-terminal",4
WBGene00008231,IPR013201,Cathepsin propeptide inhibitor domain (I29),4
WBGene00008231,IPR038765,Papain-like cysteine peptidase superfamily,4
WBGene00008231,IPR039417,Papain-like cysteine endopeptidase,4
WBGene00008238,IPR000086,NUDIX hydrolase domain,1
WBGene00008238,IPR015797,NUDIX hydrolase-like domain superfamily,1
WBGene00008252,IPR006043,Xanthine/uracil/vitamin C permease,4
WBGene00008258,IPR001382,Glycoside hydrolase family 47,40
WBGene00008258,IPR012341,Six-hairpin glycosidase-like superfamily,40
WBGene00008258,IPR036026,Seven-hairpin glycosidases,40
WBGene00008259,IPR029033,Histidine phosphatase superfamily,1
WBGene00008262,,,6
WBGene00008296,IPR012336,Thioredoxin-like fold,33
WBGene00008296,IPR026928,FAX/IsoI-like,33
WBGene00008296,IPR033468,"Metaxin, glutathione S-transferase domain",33
WBGene00008296,IPR036249,Thioredoxin-like superfamily,33
WBGene00008296,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",33
WBGene00008296,IPR040079,Glutathione Transferase family,33
WBGene00008348,IPR006816,ELMO domain,1
WBGene00008348,IPR030731,ELMO domain-containing protein 3,1
WBGene00008348,,,1
WBGene00008369,IPR000472,Activin types I and II receptor domain,1
WBGene00008375,IPR002347,Short-chain dehydrogenase/reductase SDR,1
WBGene00008375,IPR020904,"Short-chain dehydrogenase/reductase, conserved site",1
WBGene00008375,IPR036291,NAD(P)-binding domain superfamily,1
WBGene00008377,,,187
WBGene00008378,,,218
WBGene00008388,IPR002542,Domain of unknown function DUF19,1
WBGene00008388,IPR016638,Uncharacterised protein family UPF0376,1
WBGene00008405,IPR004344,Tubulin-tyrosine ligase/Tubulin polyglutamylase,1
WBGene00008405,IPR013815,"ATP-grasp fold, subdomain 1",1
WBGene00008405,IPR027749,Tubulin--tyrosine ligase-like protein 12,1
WBGene00008408,IPR000182,GNAT domain,2
WBGene00008408,IPR016181,Acyl-CoA N-acyltransferase,2
WBGene00008411,IPR001382,Glycoside hydrolase family 47,35
WBGene00008411,IPR012341,Six-hairpin glycosidase-like superfamily,35
WBGene00008411,IPR036026,Seven-hairpin glycosidases,35
WBGene00008414,IPR008698,"NADH:ubiquinone oxidoreductase, B18 subunit",1
WBGene00008429,IPR000048,"IQ motif, EF-hand binding site",1
WBGene00008429,IPR000569,HECT domain,1
WBGene00008429,IPR035983,"HECT, E3 ligase catalytic domain",1
WBGene00008430,IPR035974,Rap/Ran-GAP superfamily,9
WBGene00008430,IPR039930,Ral GTPase-activating protein subunit beta,9
WBGene00008441,IPR001394,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase",2
WBGene00008441,IPR015063,USP8 dimerisation domain,2
WBGene00008441,IPR018200,"Ubiquitin specific protease, conserved site",2
WBGene00008441,IPR028889,Ubiquitin specific protease domain,2
WBGene00008441,IPR036873,Rhodanese-like domain superfamily,2
WBGene00008441,IPR038765,Papain-like cysteine peptidase superfamily,2
WBGene00008444,IPR000195,Rab-GTPase-TBC domain,1
WBGene00008444,IPR021935,"Small G protein signalling modulator 1/2, Rab-binding domain",1
WBGene00008444,IPR035969,Rab-GTPase-TBC domain superfamily,1
WBGene00008477,IPR000859,CUB domain,37
WBGene00008477,IPR001304,C-type lectin-like,37
WBGene00008477,IPR016186,C-type lectin-like/link domain superfamily,37
WBGene00008477,IPR016187,C-type lectin fold,37
WBGene00008477,IPR035914,"Spermadhesin, CUB domain superfamily",37
WBGene00008480,IPR011387,Translation initiation factor 2A,10
WBGene00008480,IPR013979,"Translation initiation factor, beta propellor-like domain",10
WBGene00008499,IPR001128,Cytochrome P450,3
WBGene00008499,IPR002401,"Cytochrome P450, E-class, group I",3
WBGene00008499,IPR017972,"Cytochrome P450, conserved site",3
WBGene00008499,IPR036396,Cytochrome P450 superfamily,3
WBGene00008505,IPR018108,Mitochondrial substrate/solute carrier,82
WBGene00008505,IPR023395,Mitochondrial carrier domain superfamily,82
WBGene00008506,IPR005474,"Transketolase, N-terminal",272
WBGene00008506,IPR005475,"Transketolase-like, pyrimidine-binding domain",272
WBGene00008506,IPR009014,Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II,272
WBGene00008506,IPR020826,Transketolase binding site,272
WBGene00008506,IPR029061,Thiamin diphosphate-binding fold,272
WBGene00008506,IPR033248,"Transketolase, C-terminal domain",272
WBGene00008509,,,18
WBGene00008528,IPR040357,Vma22/CCDC115,2
WBGene00008531,IPR004843,"Calcineurin-like phosphoesterase domain, ApaH type",2
WBGene00008531,IPR024927,Purple acid phosphatase,2
WBGene00008531,IPR029052,Metallo-dependent phosphatase-like,2
WBGene00008532,IPR005317,Dipeptidyl-peptidase 3,41
WBGene00008532,IPR039461,Peptidase family M49,41
WBGene00008542,IPR002159,CD36 family,1
WBGene00008546,IPR001347,Sugar isomerase (SIS),12
WBGene00008546,IPR005855,"Glucosamine-fructose-6-phosphate aminotransferase, isomerising",12
WBGene00008546,IPR017932,Glutamine amidotransferase type 2 domain,12
WBGene00008546,IPR029055,"Nucleophile aminohydrolases, N-terminal",12
WBGene00008546,IPR035466,"GlmS/AgaS, SIS domain 1",12
WBGene00008546,IPR035490,"GlmS/FrlB, SIS domain 2",12
WBGene00008554,,,37
WBGene00008560,IPR000560,"Histidine phosphatase superfamily, clade-2",110
WBGene00008560,IPR029033,Histidine phosphatase superfamily,110
WBGene00008560,IPR033379,Histidine acid phosphatase active site,110
WBGene00008584,IPR003366,CUB-like domain,34
WBGene00008594,IPR000859,CUB domain,26
WBGene00008594,IPR001304,C-type lectin-like,26
WBGene00008594,IPR016186,C-type lectin-like/link domain superfamily,26
WBGene00008594,IPR016187,C-type lectin fold,26
WBGene00008594,IPR035914,"Spermadhesin, CUB domain superfamily",26
WBGene00008595,IPR000859,CUB domain,24
WBGene00008595,IPR001304,C-type lectin-like,24
WBGene00008595,IPR016186,C-type lectin-like/link domain superfamily,24
WBGene00008595,IPR016187,C-type lectin fold,24
WBGene00008595,IPR035914,"Spermadhesin, CUB domain superfamily",24
WBGene00008596,IPR000859,CUB domain,3
WBGene00008596,IPR001304,C-type lectin-like,3
WBGene00008596,IPR016186,C-type lectin-like/link domain superfamily,3
WBGene00008596,IPR016187,C-type lectin fold,3
WBGene00008596,IPR035914,"Spermadhesin, CUB domain superfamily",3
WBGene00008598,IPR011701,Major facilitator superfamily,1
WBGene00008598,IPR020846,Major facilitator superfamily domain,1
WBGene00008598,IPR036259,MFS transporter superfamily,1
WBGene00008601,IPR005301,MOB kinase activator family,4
WBGene00008601,IPR036703,MOB kinase activator superfamily,4
WBGene00008602,IPR002656,Acyltransferase 3,3
WBGene00008602,IPR006621,"Nose resistant-to-fluoxetine protein, N-terminal",3
WBGene00008607,IPR007000,Phospholipase B-like,85
WBGene00008621,IPR001087,GDSL lipase/esterase,69
WBGene00008621,IPR035547,Phospholipase B,69
WBGene00008621,IPR036514,SGNH hydrolase superfamily,69
WBGene00008621,IPR038885,"Phospholipase B1, membrane-associated",69
WBGene00008631,IPR009545,"Tight junction protein, claudin-like",2
WBGene00008634,IPR003366,CUB-like domain,37
WBGene00008652,IPR001124,"Lipid-binding serum glycoprotein, C-terminal",297
WBGene00008652,IPR017942,"Lipid-binding serum glycoprotein, N-terminal",297
WBGene00008652,IPR017943,"Bactericidal permeability-increasing protein, alpha/beta domain superfamily",297
WBGene00008654,IPR010073,Phosphoribosylformylglycinamidine synthase PurL,10
WBGene00008654,IPR010918,"PurM-like, C-terminal domain",10
WBGene00008654,IPR017926,Glutamine amidotransferase,10
WBGene00008654,IPR029062,Class I glutamine amidotransferase-like,10
WBGene00008654,IPR036604,Phosphoribosylformylglycinamidine synthase subunit PurS-like superfamily,10
WBGene00008654,IPR036676,"PurM-like, C-terminal domain superfamily",10
WBGene00008654,IPR036921,"PurM-like, N-terminal domain superfamily",10
WBGene00008654,IPR040707,"Phosphoribosylformylglycinamidine synthase, N-terminal",10
WBGene00008654,IPR041609,"Phosphoribosylformylglycinamidine synthase, linker domain",10
WBGene00008660,IPR001304,C-type lectin-like,11
WBGene00008660,IPR016186,C-type lectin-like/link domain superfamily,11
WBGene00008660,IPR016187,C-type lectin fold,11
WBGene00008677,IPR011701,Major facilitator superfamily,5
WBGene00008677,IPR020846,Major facilitator superfamily domain,5
WBGene00008677,IPR036259,MFS transporter superfamily,5
WBGene00008681,IPR005552,Scramblase,1
WBGene00008685,IPR016024,Armadillo-type fold,14
WBGene00008685,IPR026829,Protein Mon2-like,14
WBGene00008685,IPR032629,"Mon2, dimerisation and cyclophilin-binding domain",14
WBGene00008685,IPR032691,"Guanine nucleotide exchange factor, N-terminal",14
WBGene00008685,IPR032817,"Mon2, C-terminal",14
WBGene00008692,IPR002159,CD36 family,35
WBGene00008698,IPR005071,Transmembrane glycoprotein,75
WBGene00008724,IPR000535,Major sperm protein (MSP) domain,9
WBGene00008724,IPR008962,PapD-like superfamily,9
WBGene00008724,IPR013783,Immunoglobulin-like fold,9
WBGene00008741,IPR001563,"Peptidase S10, serine carboxypeptidase",220
WBGene00008741,IPR018202,"Serine carboxypeptidase, serine active site",220
WBGene00008741,IPR029058,Alpha/Beta hydrolase fold,220
WBGene00008741,IPR033124,"Serine carboxypeptidases, histidine active site",220
WBGene00008743,IPR003333,Mycolic acid cyclopropane synthase,2
WBGene00008743,IPR029063,S-adenosyl-L-methionine-dependent methyltransferase,2
WBGene00008745,IPR007327,Tumour protein D52,24
WBGene00008759,IPR003677,Domain of unknown function DUF148,7
WBGene00008760,IPR026624,Cat eye syndrome critical region protein 6,2
WBGene00008760,IPR032776,CECR6/TMEM121 family,2
WBGene00008764,IPR005334,Dynein light chain Tctex-1 like,16
WBGene00008764,IPR038586,Tctex-1-like superfamily,16
WBGene00008765,IPR000760,Inositol monophosphatase-like,23
WBGene00008765,IPR020550,"Inositol monophosphatase, conserved site",23
WBGene00008765,IPR020552,"Inositol monophosphatase, lithium-sensitive",23
WBGene00008765,IPR020583,"Inositol monophosphatase, metal-binding site",23
WBGene00008765,IPR033942,Inositol monophosphatase,23
WBGene00008775,IPR004888,Glycoside hydrolase family 63,15
WBGene00008775,IPR008928,Six-hairpin glycosidase superfamily,15
WBGene00008775,IPR012341,Six-hairpin glycosidase-like superfamily,15
WBGene00008775,IPR031335,"Glycosyl hydrolase family 63, C-terminal",15
WBGene00008775,IPR031631,"Glycosyl hydrolase family 63, N-terminal",15
WBGene00008775,IPR038518,"Glycosyl hydrolase family 63, N-terminal domain superfamily",15
WBGene00008798,,,1
WBGene00008800,IPR001893,Cysteine-rich Golgi apparatus protein 1 repeat,151
WBGene00008800,IPR017873,"Cysteine-rich Golgi apparatus protein 1 repeat, eukaryote",151
WBGene00008800,IPR039728,Golgi apparatus protein 1,151
WBGene00008829,IPR001128,Cytochrome P450,2
WBGene00008829,IPR002401,"Cytochrome P450, E-class, group I",2
WBGene00008829,IPR017972,"Cytochrome P450, conserved site",2
WBGene00008829,IPR036396,Cytochrome P450 superfamily,2
WBGene00008852,IPR000626,Ubiquitin-like domain,3
WBGene00008852,IPR006636,Heat shock chaperonin-binding,3
WBGene00008852,IPR009060,UBA-like superfamily,3
WBGene00008852,IPR015496,Ubiquilin,3
WBGene00008852,IPR015940,Ubiquitin-associated domain,3
WBGene00008852,IPR029071,Ubiquitin-like domain superfamily,3
WBGene00008852,IPR036353,XPC-binding domain superfamily,3
WBGene00008852,IPR028799,Ubiquilin-1,3
WBGene00008854,IPR000215,Serpin family,1
WBGene00008854,IPR023796,Serpin domain,1
WBGene00008854,IPR036186,Serpin superfamily,1
WBGene00008854,IPR042178,"Serpin superfamily, domain 1",1
WBGene00008854,IPR042185,"Serpin superfamily, domain 2",1
WBGene00008891,IPR000859,CUB domain,17
WBGene00008891,IPR001304,C-type lectin-like,17
WBGene00008891,IPR016186,C-type lectin-like/link domain superfamily,17
WBGene00008891,IPR016187,C-type lectin fold,17
WBGene00008891,IPR018378,"C-type lectin, conserved site",17
WBGene00008891,IPR035914,"Spermadhesin, CUB domain superfamily",17
WBGene00008916,IPR001304,C-type lectin-like,2
WBGene00008916,IPR016186,C-type lectin-like/link domain superfamily,2
WBGene00008916,IPR016187,C-type lectin fold,2
WBGene00008920,IPR001662,"Elongation factor 1B gamma, C-terminal",194
WBGene00008920,IPR004046,"Glutathione S-transferase, C-terminal",194
WBGene00008920,IPR010987,"Glutathione S-transferase, C-terminal-like",194
WBGene00008920,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",194
WBGene00008920,IPR036433,"Elongation factor EF1B gamma, C-terminal domain superfamily",194
WBGene00008926,,,20
WBGene00008936,IPR004843,"Calcineurin-like phosphoesterase domain, ApaH type",23
WBGene00008936,IPR008963,"Purple acid phosphatase-like, N-terminal",23
WBGene00008936,IPR015914,"Purple acid phosphatase, N-terminal",23
WBGene00008936,IPR025733,Iron/zinc purple acid phosphatase-like C-terminal domain,23
WBGene00008936,IPR029052,Metallo-dependent phosphatase-like,23
WBGene00008936,IPR041792,"Purple acid phosphatase, metallophosphatase domain",23
WBGene00008939,IPR001870,B30.2/SPRY domain,4
WBGene00008939,IPR003877,SPRY domain,4
WBGene00008939,IPR013320,Concanavalin A-like lectin/glucanase domain superfamily,4
WBGene00008939,IPR035766,SPRY domain-containing protein 7,4
WBGene00008939,IPR043136,B30.2/SPRY domain superfamily,4
WBGene00008964,IPR006954,Moulting cycle MLT-10-like protein,1
WBGene00008968,,,2
WBGene00008969,IPR005045,CDC50/LEM3 family,1
WBGene00008975,IPR015915,Kelch-type beta propeller,59
WBGene00008976,IPR006628,Purine-rich element binding protein family,1
WBGene00008986,IPR002347,Short-chain dehydrogenase/reductase SDR,24
WBGene00008986,IPR036291,NAD(P)-binding domain superfamily,24
WBGene00009000,IPR011022,Arrestin C-terminal-like domain,9
WBGene00009006,IPR005843,"Alpha-D-phosphohexomutase, C-terminal",14
WBGene00009006,IPR005844,"Alpha-D-phosphohexomutase, alpha/beta/alpha domain I",14
WBGene00009006,IPR005846,"Alpha-D-phosphohexomutase, alpha/beta/alpha domain III",14
WBGene00009006,IPR016055,"Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III",14
WBGene00009006,IPR016066,"Alpha-D-phosphohexomutase, conserved site",14
WBGene00009006,IPR016657,Phosphoacetylglucosamine mutase,14
WBGene00009006,IPR036900,"Alpha-D-phosphohexomutase, C-terminal domain superfamily",14
WBGene00009008,IPR001117,"Multicopper oxidase, type 1",272
WBGene00009008,IPR008972,Cupredoxin,272
WBGene00009008,IPR011706,"Multicopper oxidase, type 2",272
WBGene00009008,IPR011707,"Multicopper oxidase, type 3",272
WBGene00009008,,,272
WBGene00009012,IPR000897,"Signal recognition particle, SRP54 subunit, GTPase domain",16
WBGene00009012,IPR003593,AAA+ ATPase domain,16
WBGene00009012,IPR004125,"Signal recognition particle, SRP54 subunit, M-domain",16
WBGene00009012,IPR006325,"Signal recognition particle, SRP54 subunit, eukaryotic",16
WBGene00009012,IPR013822,"Signal recognition particle SRP54, helical bundle",16
WBGene00009012,IPR022941,"Signal recognition particle, SRP54 subunit",16
WBGene00009012,IPR027417,P-loop containing nucleoside triphosphate hydrolase,16
